x,x1933,x1934,x1935,x1936,x1937,x1938
Reconstruction Finance Corp.,100000,37500,0,0,670000,243000
Commodity Credit Corporation,0,0,0,0,0,0
Public Works Administration,0,0,135000,237000,33500,90000
Home Owners' Loan Corporation,0,0,25973,0,0,0
HOLC & Treasury - Investments in Bldg. & Sav. & Loan Assns.,0,0,0,0,18700,14600
Title I - Notes Insured,0,0,0,109711,53640,22406
Title II - Mortgages Ins'd.,0,0,0,170796,256464,241900
Agricultural Adjustment Admin.,0,0,0,0,1252,3199
Agricultural Experiment Stations,15000,15000,15000,15559,16118,24177
Agricultural Extension Work,12000,12000,12000,12000,13918,18918
Colleges Agric. & Mech. Arts,50000,50000,50000,50000,50000,50000
Forest Funds,10505,0,10466,12415,19590,15398
Forest Service (Roads),0,0,0,0,625154,674758
Civilian Conservation Corps,0,0,709001,555595,340939,613519
"Public Bldgs., Treasury Dept.",365695,55925,8571,3140,89327,515733
Public Works Admin.(Non-Federal),0,0,61235,166834,171883,119980
Public Works Admin.(Federal),0,1619904,1469268,109999,148655,760349
Fed. Emergency Relief Admin.,0,559629,786716,2259729,0,841
Works Progress Administration,0,0,0,0,4423,20287
Social Security Act,0,0,0,17727,46752,252769
"Rivers, Harbors, & Flood Control",44386,151324,122651,27825,255411,187878
Vocational Educ. & Rehabilitation,0,0,0,15000,4848,7139
*U.S. Employment Service,0,0,0,0,0,4767
Books for the Blind,132,0,190,140,117,116
Fed. Water Power Act Payments,713,629,613,675,155,309
Veterans' Administration,124000,90336,87579,98291,99162,103212
Balance from Relief Acts,0,0,0,691960,271821,433817