x,cat
Reconstruction Finance Corp.,FLA
Farm Credit Administration,Ag
Commodity Credit Administration,Ag
Farm Security Administration,Ag
Farm Tenant Purchase,Ag
Rural Electrification Administration,Ag
Public Works Administration,PWA
Disaster Loan Corporation,FLA
Fed. Res. Bks - Loans and Commitments to Industry,FRB
Home Owners' Loan Corporation,FLA
HOLC and Treasury - Investments in Bldg. and Savings and Loan Associations,FLA
Title I,FHA
Title II,FHA
Agricultural Adjustment Administration,Ag
Soil Conservation Service,Ag
Agric. Experiment Stations,Ag
Agricultural Extension Work,Ag
Colleges for Agric. and Mechanic Arts,Ag
Forest Protective Funds,Ag
Forest Service (Roads),Ag
Bureau of Public Roads,FWA
Civilian Conservation Corps,CCC
Indian Service - CCC Work,CCC
Bureau of Reclamation,Int
Public Buildings - Treasury Department,FWA
Public Works Admn.-Non-Federal Projects,PWA
Public Works Admn.-Federal Projects e/,PWA
Public Works Admn.-Housing,PWA
Federal Emergency Relief Administration,ERA
Civil Works Administration,ERA
Works Progress Admn. and NYA,WPA
Social Security Act,SSA
"Rivers, Harbors, and Flood Control",War
Mineral Lease Act Payments,Other
Special Funds,Other
Vocational Education and Rehabilitation,Other
Office of Education - ERA Act funds,ERA
United States Employment Service,SSA
State Marine Schools,Other
Books for Blind (Am.Print'g.Hse.for Blind),Other
Federal Water Power Act Payments,Other
State Homes for Soldiers and Sailors,Other
Federal Surplus Commodities Corp. h/,Ag
National Guard,War
Veterans' Administration,VA
Balance from ERA Acts i/,ERA